Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Risk,Resilience,Growth Potential,Financial Health,Competitive Positioning
"AvalonBay Communities, Inc.",111.68000030517578,134.3699951171875,126.75,134.25,167.44000244140625,180.72000122070312,188.44000244140625,183.9199981689453,219.0800018310547,171.0500030517578,249.6999969482422,4.170028230280946,3.3502059224009635,3.1099624618814348,3.8109747418885043,4.641533439495728
"AvalonBay Communities, Inc.",130.0399932861328,126.98999786376952,130.10000610351562,168.25,180.8099975585937,192.1699981689453,180.2100067138672,210.25,153.16000366210938,238.3800048828125,162.8000030517578,4.410850708559723,4.339319378657105,4.470608880409284,3.6599815941500666,4.662289642538592
"AvalonBay Communities, Inc.",136.02999877929688,127.80999755859376,173.6199951171875,183.6199951171875,192.1699981689453,170.60000610351562,200.6199951171875,156.33999633789062,230.6300048828125,168.69000244140625,188.22999572753903,4.468245268285202,4.155040335740686,2.552153935537277,3.293240279363739,3.124275347602398
"Alexandria Real Estate Equities, Inc.",73.33000183105469,72.5,70.91000366210938,73.43000030517578,94.4800033569336,104.23999786376952,120.58000183105467,127.95999908447266,155.30999755859375,163.97000122070312,220.1000061035156,4.406901344652789,4.410112785890334,4.564218223327041,3.7980888684624423,4.82208024581001
"Alexandria Real Estate Equities, Inc.",68.81999969482422,72.47000122070312,73.56999969482422,93.01000213623048,98.26000213623048,120.47000122070312,128.2100067138672,151.61000061035156,161.92999267578125,203.72999572753903,146.4499969482422,2.9264649229424444,3.2747144565157056,4.501192479760071,4.585694279696107,2.5124718013439824
"Alexandria Real Estate Equities, Inc.",70.62999725341797,70.7300033569336,97.43000030517578,93.80999755859376,117.36000061035156,125.68000030517578,142.6699981689453,162.8800048828125,201.6499938964844,149.80999755859375,129.11000061035156,3.3771124511552166,4.117390453817265,4.691358123638326,4.5784284109738955,4.783369037793553
Equity Residential,51.20000076293945,58.65999984741211,55.59000015258789,58.2400016784668,75.08000183105469,69.0,67.23999786376953,68.0,87.75,60.33000183105469,89.37999725341797,3.608905306688439,2.6559530766495896,3.813621190867347,3.481566647828623,4.916799020976871
Equity Residential,56.59999847412109,54.81999969482422,58.369998931884766,75.2699966430664,68.83999633789062,65.83000183105469,67.0,84.45999908447266,52.310001373291016,85.22000122070312,59.470001220703125,2.9818410860914364,4.160415555887563,4.627744602898639,2.8206573170268885,4.09244914233195
Equity Residential,57.0099983215332,56.869998931884766,78.9000015258789,71.75,65.06999969482422,63.470001220703125,78.18000030517578,56.84000015258789,84.58000183105469,62.810001373291016,61.40999984741211,3.322780066542768,4.510298787995283,3.5108711430317388,2.788962735152805,2.672090866551281
Federal Realty Investment Trust,78.38999938964844,95.95999908447266,105.0,115.69000244140624,135.5800018310547,165.72999572753906,133.41000366210938,130.30999755859375,137.75,93.06999969482422,134.61000061035156,4.228427972770569,4.723340732541992,4.9589243547546875,3.627263818919252,2.6541516863367085
Federal Realty Investment Trust,90.75,106.98999786376952,110.6999969482422,139.5500030517578,152.38999938964844,126.38999938964844,126.23999786376952,136.17999267578125,76.18000030517578,129.85000610351562,102.5199966430664,4.971049912128979,3.0935745932733307,2.6336766096643234,3.166097470523651,3.699077639711294
Federal Realty Investment Trust,105.31999969482422,112.62000274658205,143.52000427246094,155.38999938964844,127.37999725341795,124.73999786376952,127.27999877929688,79.38999938964844,124.02999877929688,107.97000122070312,104.61000061035156,3.18772194859476,3.7586788770285913,2.6236330543562723,3.1536624596997864,3.796932824002832
Iron Mountain Incorporated,22.6617374420166,28.4935302734375,33.6506462097168,25.21256828308105,36.90999984741211,39.93999862670898,37.119998931884766,35.65999984741211,32.77000045776367,26.15999984741211,52.4900016784668,4.182246189538883,2.8744236677490513,3.02462341568547,3.6587942894226337,4.643361809234433
Iron Mountain Incorporated,28.659889221191406,32.01478576660156,25.6746768951416,36.790000915527344,36.54999923706055,34.36000061035156,36.0099983215332,33.529998779296875,27.64999961853028,46.75,50.70000076293945,4.4697435142570185,3.398947809769197,2.6876797082726727,4.839020005311895,3.864053688647874
Iron Mountain Incorporated,29.648799896240234,24.71349334716797,37.59999847412109,35.0099983215332,35.08000183105469,34.900001525878906,31.09000015258789,30.06999969482422,44.880001068115234,52.56999969482422,69.87000274658203,3.8785633142347384,2.8127742268981084,2.945594281935782,2.530314300079515,3.6173642853189234
