Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Risk,Resilience,Growth Potential,Financial Health,Competitive Positioning
eBay Inc.,11.982322692871094,13.998315811157228,21.09006690979004,23.11868667602539,24.9915828704834,23.780000686645508,36.11000061035156,34.11000061035156,39.09000015258789,49.900001525878906,65.66000366210938,3.6720082968440217,3.6942141060012625,4.335279821757393,2.6417599140091017,3.4425648619869937
eBay Inc.,13.19023609161377,23.62373733520508,24.166667938232425,23.59848594665528,24.040000915527344,34.91999816894531,33.9900016784668,40.27000045776367,55.400001525878906,73.56999969482422,40.08000183105469,4.391067930167565,4.4644496558699265,3.6704216708228397,4.0739528390153765,3.627421661071737
eBay Inc.,22.55471420288086,22.975589752197266,25.071548461914062,24.299999237060547,35.220001220703125,36.66999816894531,38.810001373291016,53.43999862670898,74.9000015258789,44.72999954223633,43.47999954223633,4.729276586696317,3.5464961268848203,3.8791603454196357,3.460790947925355,4.567913472426081
Las Vegas Sands Corp.,47.72999954223633,52.54999923706055,53.4900016784668,75.7300033569336,50.54999923706055,43.709999084472656,61.06999969482422,60.5,57.34999847412109,56.68999862670898,37.869998931884766,3.867077606490266,4.044503960983435,4.086964522660985,3.6136377604591163,4.7749562874923095
Las Vegas Sands Corp.,44.4900016784668,53.54999923706055,83.86000061035156,56.34000015258789,46.29999923706055,63.88999938964844,69.19999694824219,59.0099983215332,45.7400016784668,40.630001068115234,48.459999084472656,4.9064325475260695,4.9338240860859175,4.472803543511436,4.416928960593755,4.710545753178363
Las Vegas Sands Corp.,48.75,76.97000122070312,52.90999984741211,52.5,57.95000076293945,71.2699966430664,54.52999877929688,50.84000015258789,40.09999847412109,42.369998931884766,49.040000915527344,2.6864120578185116,4.600681051434604,4.2571258003839585,4.322103236489949,4.795355544536461
Packaging Corporation of America,26.21999931335449,29.299999237060547,43.0,68.20999908447266,70.62000274658203,67.12999725341797,109.41999816894533,112.63999938964844,106.41000366210938,131.47000122070312,133.0,4.2563774975745305,3.959589238980708,3.5783976419872885,4.496458905043921,4.3710182054664415
Packaging Corporation of America,25.190000534057617,39.790000915527344,70.70999908447266,77.0199966430664,67.61000061035156,111.38999938964844,110.91000366210938,104.1999969482422,118.6999969482422,134.33999633789062,129.55999755859375,4.679180926924095,2.55227072901575,4.37348638002781,2.6703568692717434,3.178582238428127
Packaging Corporation of America,39.0,65.01000213623047,78.2699966430664,63.09000015258789,101.97000122070312,112.37000274658205,99.5999984741211,104.51000213623048,133.7100067138672,131.33999633789062,163.99000549316406,3.5761327715676456,2.5084091477091937,4.727668762324212,4.416773099275472,3.0701139198066496
Carnival Corporation & plc,47.09000015258789,31.96999931335449,33.91999816894531,37.22999954223633,47.59000015258789,44.86000061035156,68.0,61.86000061035156,42.43999862670898,18.18000030517578,20.950000762939453,3.366839839147376,3.0168881525435274,3.9741314869240787,3.5534878831988816,3.6045917012630806
Carnival Corporation & plc,32.959999084472656,38.97999954223633,38.81999969482422,46.4900016784668,49.630001068115234,65.56999969482422,58.40999984741211,49.65999984741211,14.020000457763672,20.32999992370605,7.670000076293945,3.7531006658317656,4.955749381543763,3.1892437958930144,3.694182055929547,4.232738087198366
Carnival Corporation & plc,37.5,39.90999984741211,46.29999923706055,50.59999847412109,62.77000045776367,57.150001525878906,45.209999084472656,17.65999984741211,23.670000076293945,9.31999969482422,18.61000061035156,3.1768791992472956,2.9136714922967,3.680198231581282,3.1404822977559395,4.6412916967647515
"O'Reilly Automotive, Inc.",58.11000061035156,84.33999633789062,104.36000061035156,147.9600067138672,222.5399932861328,274.2300109863281,205.08999633789065,347.7200012207031,407.1700134277344,442.0899963378906,692.4400024414062,3.68812519575527,4.065689746318446,3.1911745477113573,3.367121457065788,3.7077660875698815
"O'Reilly Automotive, Inc.",78.1500015258789,100.04000091552734,148.44000244140625,217.1499938964844,263.6300048828125,218.7400054931641,315.4700012207031,407.6799926757813,469.5,640.1699829101562,843.8400268554688,3.232446117292617,3.1815491779127303,2.6095758544635834,4.590174625587773,3.5485993363058292
"O'Reilly Automotive, Inc.",89.87000274658203,149.1999969482422,215.0599975585937,274.3099975585937,243.8500061035156,274.5199890136719,363.6199951171875,476.2799987792969,628.989990234375,846.3900146484375,942.0599975585938,3.887725589898753,4.892721936214308,4.4327157738993375,4.243436285860964,4.92903791893346
"Tapestry, Inc.",52.27999877929688,74.04000091552734,49.27000045776367,49.11000061035156,35.36000061035156,40.72999954223633,47.56999969482422,50.119998931884766,25.440000534057617,28.8700008392334,41.119998931884766,3.826272905102082,4.029052114838448,2.943553345300981,3.740581871504381,4.50217754974137
"Tapestry, Inc.",60.040000915527344,48.61000061035156,49.43999862670898,42.540000915527344,39.5099983215332,47.34000015258789,45.40999984741211,25.170000076293945,19.540000915527344,46.20000076293945,38.11000061035156,4.187319670280803,2.5107074009605435,3.8266349382520186,4.698789800308736,3.5344140540014286
"Tapestry, Inc.",55.130001068115234,47.560001373291016,41.41999816894531,40.06999969482422,46.06999969482422,46.369998931884766,27.84000015258789,14.579999923706056,39.20000076293945,34.560001373291016,37.61000061035156,3.4599218051346803,3.345914086827154,3.895945826541717,2.9097026306115352,4.451554380365883
Ball Corporation,17.412500381469727,20.020000457763672,22.905000686645508,28.05500030517578,36.15499877929688,35.70500183105469,41.16999816894531,42.790000915527344,73.87000274658203,95.44000244140624,91.91999816894533,3.828400538492161,3.2982543544068803,2.9409180517494495,4.123446187542752,4.869602799506769
Ball Corporation,18.15999984741211,22.604999542236328,27.26499938964844,36.05500030517578,36.04499816894531,42.209999084472656,41.45000076293945,71.88999938964844,90.80999755859376,94.95999908447266,51.790000915527344,4.51688784815676,3.3125596123961025,4.971353373637243,3.2488423798180346,3.8181020409828665
