Symbol,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11
"Charles River Laboratories International, Inc.",62.25,74.52999877929688,88.4000015258789,107.2699966430664,139.72999572753906,185.0399932861328,384.1300048828125,220.0500030517578,199.6199951171875,186.5200042724609
Thermo Fisher Scientific Inc.,127.33000183105467,132.75999450683594,158.6300048828125,206.6199951171875,277.8099975585937,349.8800048828125,514.6900024414062,596.0399780273438,502.7900085449219,552.5399780273438
Viatris Inc.,54.9900016784668,49.709999084472656,42.29999923706055,39.52999877929688,27.68000030517578,18.780000686645508,14.18000030517578,10.75,9.640000343322754,11.760000228881836
Labcorp Holdings Inc.,89.17525482177734,95.42095947265624,119.96563720703124,139.80239868164062,142.29380798339844,156.7353973388672,241.81271362304688,217.61167907714844,205.1499938964844,227.3800048828125
Danaher Corporation,55.87996673583984,57.257808685302734,75.13298034667969,86.21453857421875,118.35993194580078,152.04786682128906,246.4627685546875,263.5372314453125,220.1861724853516,244.1199951171875
Medtronic plc,73.2300033569336,73.91999816894531,80.55999755859375,78.16000366210938,89.13999938964844,101.33000183105467,128.1999969482422,94.91000366210938,80.2699966430664,90.5999984741211
CVS Health Corporation,90.11000061035156,93.9000015258789,79.76000213623047,60.59999847412109,56.72999954223633,70.62000274658203,81.81999969482422,104.91999816894533,71.1500015258789,57.36000061035156
Bristol-Myers Squibb Company,59.27999877929688,62.77999877929688,54.77999877929688,62.40999984741211,46.880001068115234,61.43000030517578,67.5,74.55999755859375,58.900001525878906,52.63999938964844
Amgen Inc.,165.38999938964844,151.3000030517578,173.13999938964844,171.14999389648438,176.5,225.75,244.3699951171875,250.5800018310547,267.70001220703125,317.1700134277344
"Zimmer Biomet Holdings, Inc.",108.26213836669922,98.13592529296876,113.7572784423828,105.32038879394533,119.6213607788086,132.52427673339844,155.10679626464844,114.63999938964844,116.8499984741211,103.5999984741211
Eli Lilly and Company,71.05000305175781,81.23999786376953,80.36000061035156,75.66000366210938,118.45999908447266,149.2100067138672,236.009994506836,316.82000732421875,550.5399780273438,895.5900268554688
Stryker Corporation,92.63999938964844,91.11000061035156,127.16000366210938,158.5399932861328,188.8500061035156,206.0,264.9200134277344,221.42999267578125,285.2799987792969,356.010009765625
"Henry Schein, Inc.",52.360782623291016,57.537254333496094,67.84706115722656,51.04313659667969,62.77000045776367,66.95999908447266,77.0199966430664,74.88999938964844,73.11000061035156,71.11000061035156
"IDEXX Laboratories, Inc.",73.5199966430664,67.12000274658203,142.39999389648438,190.8999938964844,242.33999633789065,309.6700134277344,659.5399780273438,374.010009765625,435.6900024414063,449.4400024414063
Boston Scientific Corporation,12.600000381469728,17.8700008392334,25.280000686645508,27.030000686645508,36.88999938964844,39.11000061035156,43.4900016784668,42.43000030517578,53.59999847412109,84.76000213623047
UnitedHealth Group Incorporated,99.08999633789062,109.2699966430664,160.57000732421875,217.9600067138672,232.4499969482422,309.4800109863281,416.0400085449219,545.0,506.1000061035156,565.239990234375
Quest Diagnostics Incorporated,64.26000213623047,65.7699966430664,95.87000274658205,99.9499969482422,98.16000366210938,116.8000030517578,135.6300048828125,137.83999633789062,123.4800033569336,155.9199981689453
McKesson Corporation,208.1199951171875,165.0,150.88999938964844,138.75,122.62999725341795,164.67999267578125,189.9600067138672,367.3699951171875,438.6600036621094,508.9500122070313
DaVita Inc.,74.44999694824219,66.47000122070312,68.88999938964844,65.33999633789062,56.5099983215332,87.0,123.6999969482422,89.58000183105469,98.70999908447266,157.0500030517578
"Revvity, Inc.",42.02000045776367,47.40999984741211,55.65999984741211,75.5199966430664,94.87999725341795,105.30999755859376,154.57000732421875,150.74000549316406,109.5,117.48999786376952
STERIS plc,66.0,67.33000183105469,69.80999755859375,90.41999816894533,131.9600067138672,165.42999267578125,210.8000030517578,211.6300048828125,223.94000244140625,224.009994506836
Incyte Corporation,77.0,76.94999694824219,122.36000061035156,85.02999877929688,80.94000244140625,94.58000183105467,81.18000030517578,73.86000061035156,58.09999847412109,65.69000244140625
IQVIA Holdings Inc.,57.209999084472656,63.34000015258789,76.25,100.05999755859376,136.13999938964844,150.0,248.6199951171875,240.6199951171875,198.75,217.5399932861328
Centene Corporation,24.27499961853028,30.45499992370605,35.13999938964844,50.56999969482422,51.619998931884766,67.18000030517578,74.69999694824219,94.83000183105467,68.68000030517578,61.650001525878906
"Cencora, Inc.",90.91999816894533,92.7699966430664,91.01000213623048,84.01000213623047,77.05999755859375,102.3000030517578,115.5500030517578,149.52999877929688,185.9499969482422,233.57000732421875
"HCA Healthcare, Inc.",72.5999984741211,64.2699966430664,85.73999786376953,97.43000030517578,125.5199966430664,118.04000091552734,220.33999633789065,208.9900054931641,252.2700042724609,356.5899963378906
Vertex Pharmaceuticals Incorporated,117.1999969482422,97.91000366210938,86.55000305175781,160.33999633789062,169.5399932861328,265.010009765625,198.33999633789065,299.2300109863281,349.5299987792969,476.3699951171875
The Cigna Group,102.4000015258789,136.22999572753906,146.97000122070312,165.5399932861328,158.22000122070312,215.83999633789065,235.22000122070312,291.6000061035156,289.44000244140625,314.9200134277344
Edwards Lifesciences Corporation,21.72833251953125,24.89666748046875,30.88999938964844,46.03666687011719,59.5533332824707,76.94999694824219,106.83999633789062,100.52999877929688,69.66000366210938,68.5199966430664
Insulet Corporation,45.900001525878906,33.91999816894531,46.0,87.06999969482422,86.08000183105469,180.9499969482422,275.6400146484375,266.6000061035156,155.6999969482422,233.3699951171875
"DexCom, Inc.",13.885000228881836,17.559999465942383,19.975000381469727,17.497499465942383,30.092500686645508,92.15499877929688,111.44249725341795,88.13999938964844,87.5,72.0999984741211
Waters Corporation,112.44000244140624,126.23999786376952,154.60000610351562,200.5200042724609,216.0800018310547,208.22000122070312,369.6700134277344,335.4200134277344,269.0,325.510009765625
